record_index,name,address_full,address_street,address_city,address_state,address_postal_code,address_confidence,address_verification,address_resolution_status,store_type,doordash_rating,doordash_reviews_label,google_rating,google_review_count,distance_miles,doordash_store_id,doordash_url,personal_category,customer_quality_prior,delivery_integrity_prior,personal_health_fit,q4_go_probability,q4_entropy,personal_policy_override,go_no_go,latitude,longitude,coordinate_source,coordinate_precision,coordinate_confidence,geocode_status
11,Quick Stop,"641 N Main St, Greenville, SC 29601",641 N Main St,Greenville,SC,29601,high,local_business_search,resolved_exact,,,,4.0,4,7.0,,,general,0.6541,0.7,0.7,0.608465,0.890648,,NO-GO,,,,,,pending
12,Kstop Market,"94 Allen St, Greenville, SC 29605",94 Allen St,Greenville,SC,29605,medium-high,host_distance_branch_match,resolved_branch_context,,,,,,8.2,,,general,0.6541,0.7,0.7,0.607044,0.886766,,NO-GO,,,,,,pending
13,M & J'S WINGS & PLENTY,"1000 Easley Bridge Rd, Greenville, SC 29611",1000 Easley Bridge Rd,Greenville,SC,29611,high,local_business_search,resolved_exact,,4.7,100+,4.8,616,8.6,,,general,0.81153,0.7,0.7,0.681779,0.773796,,GO,,,,,,pending
14,Better Than Sex,"23-25 College St, Greenville, SC 29601",23-25 College St,Greenville,SC,29601,high,local_business_search,resolved_exact,,4.6,20+,4.7,1472,7.0,,,general,0.75354,0.7,0.7,0.667039,0.80273,,GO,,,,,,pending
15,Community Canteen,"109 W Stone Ave A1/A2, Greenville, SC 29609",109 W Stone Ave A1/A2,Greenville,SC,29609,high,local_business_search,resolved_exact,,4.9,20+,4.7,96,7.1,,,general,0.80854,0.7,0.7,0.675402,0.746297,,GO,,,,,,pending
16,Mangos,"110 Poinsett Hwy, Greenville, SC 29609",110 Poinsett Hwy,Greenville,SC,29609,high,local_business_search,resolved_exact,,,,4.5,123,,,,general,0.6541,0.7,0.7,0.613938,0.889727,,NO-GO,,,,,,pending
17,Wag N' Wash,"2133 Old Spartanburg Rd, Greer, SC 29650",2133 Old Spartanburg Rd,Greer,SC,29650,high,local_business_search,resolved_exact,,4.8,20+,4.5,99,4.9,,,general,0.790207,0.7,0.7,0.662058,0.773337,,GO,,,,,,pending
18,Golf Galaxy,"1025 Woodruff Rd f103, Greenville, SC 29607",1025 Woodruff Rd f103,Greenville,SC,29607,high,local_business_search,resolved_exact,,4.3,10+,3.3,144,1.8,,,general,0.682213,0.7,0.7,0.632228,0.846046,,NO-GO,,,,,,pending
19,Office Depot OfficeMax,"101 Verdae Blvd Ste 1000, Greenville, SC 29607",101 Verdae Blvd Ste 1000,Greenville,SC,29607,high,local_business_search,resolved_exact,,4.8,200+,4.1,365,3.2,,,general,0.84724,0.7,0.7,0.686121,0.718297,,GO,,,,,,pending
20,Rc’s Quick Stop,"999 Rogers Bridge Rd, Duncan, SC 29334",999 Rogers Bridge Rd,Duncan,SC,29334,high,local_business_search,resolved_exact,,,,4.8,39,9.4,,,general,0.6541,0.7,0.7,0.605664,0.881612,,NO-GO,,,,,,pending
21,Dos Hermanos Restaurant,"309 New Woodruff Rd, Greer, SC 29651",309 New Woodruff Rd,Greer,SC,29651,high,local_business_search,resolved_exact,,,,4.1,155,7.9,,,general,0.6541,0.7,0.7,0.608919,0.860131,,NO-GO,,,,,,pending
22,MealMe,"3220 N Pleasantburg Dr, Greenville, SC 29609",3220 N Pleasantburg Dr,Greenville,SC,29609,high,web_search_match,resolved_exact,,,,,,8.2,,,general,0.6541,0.7,0.7,0.608279,0.857678,,NO-GO,,,,,,pending
23,Joe's Mart,"1500 Buncombe Rd, Greenville, SC 29609",1500 Buncombe Rd,Greenville,SC,29609,high,web_search_match,resolved_exact,,,,,,8.0,,,general,0.6541,0.7,0.7,0.608705,0.859321,,NO-GO,,,,,,pending
24,Buttermilk Sky Pie Shop Greenville,"2222 Augusta St #9, Greenville, SC 29605",2222 Augusta St #9,Greenville,SC,29605,high,local_business_search,resolved_exact,,,,4.7,173,6.3,,,general,0.6541,0.7,0.7,0.609367,0.891971,,NO-GO,,,,,,pending
25,Blessings In Bloom Florals,"3290 Old Hills Bridge Rd, Enoree, SC 29335",3290 Old Hills Bridge Rd,Enoree,SC,29335,high,local_business_search,resolved_exact,,,,5.0,25,23.3,,,general,0.6541,0.7,0.7,0.598127,0.875903,,NO-GO,,,,,,pending
26,Kids Foot Locker,"700 Haywood Rd Ste 2126, Greenville, SC 29607",700 Haywood Rd Ste 2126,Greenville,SC,29607,high,local_business_search,resolved_exact,,,,3.4,37,3.6,,,general,0.6541,0.7,0.7,0.622256,0.872335,,NO-GO,,,,,,pending
27,SNIPES USA,"1510 Poinsett Hwy Space BO1, Greenville, SC 29609",1510 Poinsett Hwy Space BO1,Greenville,SC,29609,high,local_business_search,resolved_exact,,,,3.9,174,8.4,,,general,0.6541,0.7,0.7,0.606814,0.885978,,NO-GO,,,,,,pending
28,American Eagle Outfitters,"700 Haywood Rd Spc 2005a, Greenville, SC 29607",700 Haywood Rd Spc 2005a,Greenville,SC,29607,high,local_business_search,resolved_exact,,5.0,10+,4.1,189,3.6,,,general,0.810546,0.7,0.7,0.672829,0.74547,,GO,,,,,,pending
29,Torrid,"1117 Woodruff Rd Space # E1, Greenville, SC 29607",1117 Woodruff Rd Space # E1,Greenville,SC,29607,high,local_business_search,resolved_exact,,,,4.3,246,1.4,,,general,0.6541,0.7,0.7,0.622953,0.864413,,NO-GO,,,,,,pending
30,Hibbett,"1526 Poinsett Hwy Spc B-09, Greenville, SC 29609",1526 Poinsett Hwy Spc B-09,Greenville,SC,29609,high,local_business_search,resolved_exact,,,,3.9,337,8.0,,,general,0.6541,0.7,0.7,0.607275,0.88752,,NO-GO,,,,,,pending
31,CHEF'STORE,"300 W Blackstock Rd, Spartanburg, SC 29301",300 W Blackstock Rd,Spartanburg,SC,29301,high,local_business_search,resolved_exact,,4.4,50+,4.4,116,18.5,,,general,0.739277,0.7,0.7,0.639573,0.839289,,NO-GO,,,,,,pending
32,Pearson Farm,"5575 Zenith Mill Rd, Fort Valley, GA 31030",5575 Zenith Mill Rd,Fort Valley,GA,31030,high,official_store_site,resolved_exact,,,,,,18.4,,,general,0.6541,0.7,0.7,0.599106,0.876426,,NO-GO,,,,,,pending
33,Enchanting Shea,"114 State Road 286, Fountain Inn, SC",114 State Road 286,Fountain Inn,SC,,high,exact_doordash_pickup_page,resolved_exact,,,,,,10.0,,,general,0.6541,0.7,0.7,0.604963,0.878699,,NO-GO,,,,,,pending
34,Pacsun,"Haywood Mall, 700 Haywood Rd, Greenville, SC 29607","Haywood Mall, 700 Haywood Rd",Greenville,SC,29607,high,local_business_search,resolved_exact,,4.4,10+,3.2,66,3.5,,,general,0.700546,0.7,0.7,0.641563,0.829747,,NO-GO,,,,,,pending
35,Five Below,"1125 Woodruff Rd Ste 1000 B, Greenville, SC 29607",1125 Woodruff Rd Ste 1000 B,Greenville,SC,29607,high,local_business_search,resolved_exact,,4.6,200+,4.4,1010,1.2,,,general,0.810573,0.7,0.7,0.686718,0.748582,,GO,,,,,,pending
36,Foot Locker,"700 Haywood Rd, Greenville, SC 29607",700 Haywood Rd,Greenville,SC,29607,high,local_business_search,resolved_exact,,4.6,10+,3.6,202,3.6,,,general,0.737213,0.7,0.7,0.6557,0.795854,,GO,,,,,,pending
37,The Fresh Market,"1601 Woodruff Rd, Greenville, SC 29607",1601 Woodruff Rd,Greenville,SC,29607,high,local_business_search,resolved_exact,,4.7,500+,4.5,749,0.3,,,general,0.851967,0.7,0.7,0.732299,0.749325,,GO,,,,,,pending
38,Blum Moon Flowers,"263 Harlequin Dr, Moore, SC 29369",263 Harlequin Dr,Moore,SC,29369,high,exact_doordash_pickup_page,resolved_exact,,,,,,12.9,,,general,0.6541,0.7,0.7,0.601925,0.877714,,NO-GO,,,,,,pending
39,Gap,"700 Haywood Rd Spc 2043, Greenville, SC 29607",700 Haywood Rd Spc 2043,Greenville,SC,29607,high,local_business_search,resolved_exact,,,,4.0,76,3.6,,,general,0.6541,0.7,0.7,0.622256,0.872335,,NO-GO,,,,,,pending
40,Michaels,"Welcome Shopping Center, 20 Haywood Rd, Greenville, SC 29607","Welcome Shopping Center, 20 Haywood Rd",Greenville,SC,29607,high,local_business_search,resolved_exact,,4.6,200+,4.3,2184,3.8,,,general,0.810573,0.7,0.7,0.681399,0.736042,,GO,,,,,,pending
41,The Lost Cajun,"116 N Main St, Greenville, SC 29601",116 N Main St,Greenville,SC,29601,high,local_business_search,resolved_exact,,4.3,1k+,4.5,1694,2.7,,,general,0.796111,0.7,0.7,0.680619,0.750289,,GO,,,,,,pending
42,Sub Station II,"783 E Butler Rd, Mauldin, SC 29662",783 E Butler Rd,Mauldin,SC,29662,high,local_business_search,resolved_exact,,4.6,3k+,4.5,321,7.0,,,general,0.878833,0.7,0.7,0.704564,0.683319,,GO,,,,,,pending
43,Hooters,"2401 Laurens Rd, Greenville, SC 29607",2401 Laurens Rd,Greenville,SC,29607,high,local_business_search,resolved_exact,,4.0,2k+,3.9,1486,3.9,,,general,0.7586,0.7,0.7,0.660003,0.783416,,GO,,,,,,pending
44,Tupelo Honey,"1 N Main St Ste t, Greenville, SC 29601",1 N Main St Ste t,Greenville,SC,29601,high,local_business_search,resolved_exact,,4.4,1k+,4.4,4449,7.0,,,general,0.814444,0.7,0.7,0.675292,0.745484,,GO,,,,,,pending
45,Chuck E. Cheese,"253 Congaree Rd, Greenville, SC 29607",253 Congaree Rd,Greenville,SC,29607,high,local_business_search,resolved_exact,,3.9,200+,4.0,1789,3.8,,,general,0.68224,0.7,0.7,0.62379,0.866729,,NO-GO,,,,,,pending
46,Southern Belle’s Florist,"917 Old Pendleton Rd, Easley, SC 29642",917 Old Pendleton Rd,Easley,SC,29642,high,web_search_match,resolved_exact,,,,,,12.7,,,general,0.6541,0.7,0.7,0.602089,0.877778,,NO-GO,,,,,,pending
47,Southport Hall,"143 Southport Rd, Spartanburg, SC 29306",143 Southport Rd,Spartanburg,SC,29306,high,local_business_search,resolved_exact,,,,,,19.0,,,general,0.6541,0.7,0.7,0.598935,0.876337,,NO-GO,,,,,,pending
48,Daisy’s Rose,"580 Ellsmere Way, Moore, SC 29369",580 Ellsmere Way,Moore,SC,29369,high,exact_doordash_pickup_page,resolved_exact,,,,,,12.8,,,general,0.6541,0.7,0.7,0.602006,0.877746,,NO-GO,,,,,,pending
49,KC Mart 9,"701 S Buncombe Rd, Greer, SC 29650",701 S Buncombe Rd,Greer,SC,29650,high,web_search_match,resolved_exact,,,,,,,,,general,0.6541,0.7,0.7,0.621648,0.877105,,NO-GO,,,,,,pending
50,PKL Park GVL,"78 Mayberry St, Greenville, SC 29601",78 Mayberry St,Greenville,SC,29601,high,local_business_search,resolved_exact,,4.4,50+,4.9,636,7.9,,,general,0.739277,0.7,0.7,0.652647,0.822571,,GO,,,,,,pending
51,Pho Noodleville,"21 Orchard Park Dr, Greenville, SC 29615",21 Orchard Park Dr,Greenville,SC,29615,high,local_business_search,resolved_exact,,4.7,2k+,4.8,1911,3.9,,,general,0.886933,0.7,0.7,0.70881,0.693239,,GO,,,,,,pending
52,Clutch Coffee Bar,"2407 E North St, Greenville, SC 29615",2407 E North St,Greenville,SC,29615,high,local_business_search,resolved_exact,,4.7,100+,4.8,217,5.4,,,general,0.81153,0.7,0.7,0.667623,0.757449,,GO,,,,,,pending
53,The Matador,"722 S Main St, Greenville, SC 29601",722 S Main St,Greenville,SC,29601,high,web_search_match,resolved_exact,,4.5,50+,,,7.2,,,general,0.757611,0.7,0.7,0.649701,0.82225,,NO-GO,,,,,,pending
54,Clean Eatz,"3608 Pelham Rd Ste C, Greenville, SC 29615",3608 Pelham Rd Ste C,Greenville,SC,29615,high,local_business_search,resolved_exact,,4.6,500+,4.6,510,2.7,,,general,0.833634,0.7,0.7,0.683305,0.728143,,GO,,,,,,pending
55,el carriel bakery and restaurant,"3107 White Horse Rd, Greenville, SC 29611",3107 White Horse Rd,Greenville,SC,29611,high,web_search_match,resolved_exact,,4.6,200+,,,9.1,,,general,0.810573,0.7,0.7,0.681819,0.773626,,GO,,,,,,pending
56,Latin Flavorz,"870 E Suber Rd, Greer, SC 29650",870 E Suber Rd,Greer,SC,29650,high,local_business_search,resolved_exact,,4.8,500+,4.5,764,5.7,,,general,0.870301,0.7,0.7,0.685014,0.707186,,GO,,,,,,pending
57,P.F. Chang Catering,"1127 Woodruff Rd, Greenville, SC 29607",1127 Woodruff Rd,Greenville,SC,29607,high,web_search_match,resolved_exact,,,,,,,,,general,0.6541,0.7,0.7,0.613938,0.889727,,NO-GO,,,,,,pending
58,Juice Lab,"1828 Woodruff Rd, Greenville, SC 29607",1828 Woodruff Rd,Greenville,SC,29607,high,local_business_search,resolved_exact,,4.9,10+,4.8,47,0.8,,,general,0.792213,0.7,0.7,0.685103,0.7628,,GO,,,,,,pending
59,Wow Bao,"681 Halton Rd, Greenville, SC 29607",681 Halton Rd,Greenville,SC,29607,high,local_business_search,resolved_exact,,4.0,1k+,3.5,2,3.7,,,general,0.741111,0.7,0.7,0.645158,0.813899,,NO-GO,,,,,,pending
